[ Item: [NAME: Mocha, PRICE: 4.5 ]| Payment method: CASH| Amount: 5.0| Change: 0.5| Date Fri Mar 07 18:17:33 GMT 2025
[ Item: [NAME: Matcha, PRICE: 123.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 09:52:00 IST 2025
[ Item: [NAME: Matcha, PRICE: 123.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 09:52:40 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:00:29 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:00:29 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:01:01 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:25:24 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:25:24 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:27:45 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:29:20 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:32:58 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:32:58 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:14 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:32:58 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:14 IST 2025
[ Item: [NAME: Americano, PRICE: 2.5 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:39 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:32:58 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:14 IST 2025
[ Item: [NAME: Americano, PRICE: 2.5 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:39 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:42 IST 2025
[ Item: [NAME: Latte, PRICE: 3.7 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:32:58 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:14 IST 2025
[ Item: [NAME: Americano, PRICE: 2.5 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:39 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:33:42 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:35:06 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:38:06 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:38:28 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:39:49 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:39:49 IST 2025
[ Item: [NAME: Latte, PRICE: 3.5 ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:44:52 IST 2025
[ Item: [NAME: Matcha, PRICE: 5.4 ]| Payment method: VISA| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:45:25 IST 2025
[ Item: [NAME: Latte, PRICE: 3.5 ]| Payment method: CASH| Amount: 5.0| Change: 1.5| Date Tue Apr 15 10:46:24 IST 2025
[ Item: [NAME: Latte, PRICE: 3.5 ]| Payment method: CASH| Amount: 5.0| Change: 1.5| Date Tue Apr 15 10:47:53 IST 2025
[ Item: [NAME: Latte, PRICE: 3.5 ]| Payment method: CASH| Amount: 5.0| Change: 1.5| Date Tue Apr 15 10:48:22 IST 2025
[ Item: [NAME: Latte, PRICE: 3.5 ]| Payment method: CASH| Amount: 5.0| Change: 1.5| Date Tue Apr 15 10:50:52 IST 2025
[ Item: [NAME: Latte, PRICE: 3.5 ]| Payment method: CASH| Amount: 5.0| Change: 1.5| Date Tue Apr 15 10:50:52 IST 2025
[ Item: [NAME: Mocha, PRICE: 4.0 ]| Payment method: CASH| Amount: 5.0| Change: 1.0| Date Tue Apr 15 10:51:13 IST 2025
[ Item: [NAME: Mocha, PRICE: 4.0$ ]| Payment method: MASTERCARD| Amount: 0.0| Change: 0.0| Date Tue Apr 15 10:55:06 IST 2025
